-51.08 -26.23    0.2    0.1    1.2    0.3    0.2    0.7      1    0.1    0.1    0.2    0.8    1.1    1.8    1.5   10.8    2.5     22    0.5    0.3      0    0.4    0.2      0      0    2.2    1.2    0.5    0.1      0      0      0    0.5    0.2    3.4    1.1    5.4     22    9.6    7.2    0.9    0.5    0.4    0.2      0    9.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.74 -24.19    0.1      0    0.4    0.4      0    0.7    0.9      0    0.3    0.3    0.7    1.6    1.1    2.7   20.9   11.5     25    0.1      0    0.6      0      0      0      0    3.5    1.4      0      0      0      0    0.6    0.3    0.1    2.6    0.6    3.8   13.4     25    1.4    0.7      0      0      0      0     25      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-54.56 -22.97      0      0    0.3    0.2      0    0.1    0.2      0      0    0.1    0.3    0.6      1    0.9     22     30     30    0.2    2.8    3.7   11.6    0.3      0      0    1.7    0.7      0      0      0      0    0.1    0.1    0.5    0.1    0.2    9.9   10.4    1.3      1      0      0      0      0      0   20.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-54.58 -25.42    0.2      0    0.2    0.1      0    0.6    0.4      0    0.2    0.3    0.8    1.1    1.2    1.5     15   16.6   21.8    0.4    0.6    2.2    5.8    1.4      0      0      3    0.1      0      0      0      0    0.8    0.1    1.4    2.6    1.7    3.5   15.1     22    0.9    0.1    0.1      0      0      0     22      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.53 -22.38      0      0      0    0.1      0      0      0      0    0.1      0    0.1    0.3    0.4    0.3    3.2   14.2      7    1.1    0.7   11.1    3.3      0      0      0    0.1    0.1      0      0      0      0    0.1      0      0      0      0      8      3    1.2    0.5      0      0      0      0      0    8.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.17 -23.18      0      0    0.3    0.1      0    0.3    0.7      0      0    0.1    0.3    0.9    0.9    1.8   10.5   17.3     24    0.1      0    1.1      0      0      0      0    1.4      1      0      0      0      0      0      0      0    1.1    0.8    2.1    8.5     24    2.2    0.3      0      0      0      0     17      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.54 -17.99      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.4    0.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.67 -16.15      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.1    0.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-47.98 -18.45      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0    0.3      1    2.2    0.2    0.1    0.2    0.7    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -49.1 -18.42      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.3    0.6      0      0      0    0.8    2.9    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -47.7 -19.13      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.1      0      0      0      0      0      0      0      0      0      0    0.1    0.7    4.4      3    8.4    1.1      0    1.6    1.5    0.6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-50.16 -18.07      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.3    0.3    4.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-47.68 -18.05      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    0.1    0.4    0.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -50.5 -19.02      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.4      1    0.2      0      0      0    0.7    4.4    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-50.52 -22.94      0      0      0      0      0      0      0      0      0      0      0      0    0.3    0.2      0    1.3    0.2    0.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    6.8      2   13.3    2.5    0.1      0      0      0    0.2    1.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.33 -22.65      0      0    0.1      0      0      0    0.2      0      0      0    0.1    0.1    0.2    0.2    1.2   11.5    7.3    0.6      0      0      0      0      0      0    0.2    0.2      0      0      0      0      0      0      0    0.4    0.5    5.2    1.7   24.8    1.4    0.2      0      0      0      0      4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.73 -23.01      0      0    0.2    0.1      0      0    0.3      0      0      0    0.1    0.2    0.3    0.2    0.2   15.1      8    0.9      0      0    0.1      0      0      0    0.2    0.5      0      0      0      0      0      0    0.1    1.2    0.8    6.7    2.6   19.5    1.4    0.7      0      0      0    0.2    1.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.23 -23.22      0      0    0.5    0.3    0.1      0    0.1      0      0      0      0      0    0.1    0.1      0    5.7    2.1    1.1    0.3    0.2    0.7    0.2      0      0      0    0.3    0.4    0.1      0      0      0    0.1    0.2      1    1.1    6.3      4   16.2    2.3    0.5      0    0.1      0    0.7      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-50.71 -24.06      0      0    0.7    0.2      0    0.3    0.8      0      0    0.2    0.2    0.8    0.9    1.1    7.2   11.4     29    0.4      0      0      0      0      0      0    2.3    1.6    0.1      0      0      0      0      0    0.1    1.6    2.8    2.7    6.3   24.3    4.3    0.4      0    0.1      0    0.1     15      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.87  -22.5      0      0      0      0      0      0    0.1      0    0.1      0      0    0.1    0.2    0.1    0.5    8.5    8.8    1.6      0    0.7      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.6    2.7    5.4   18.7    0.6      0      0      0      0      0    4.6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-47.33 -16.21      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2    1.3    0.1    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-44.76 -18.95      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    0.1    0.3    0.1      0      0    0.1      0    0.1    0.1      0      0      0    0.6      0    0.1      0    0.2      8     14      2    0.2    0.5    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-44.86 -15.93      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.2      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0    1.1      3    0.3    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-45.07 -16.37      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    0.1    0.1    0.1      0    0.1    0.1    0.1    0.1      0      0      0    0.2      0      0      0    0.1    1.3    4.9    1.4    0.1    0.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-45.27 -18.16      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.2    0.1      0      0    0.1      0      0      0      0      0    0.2      0    0.9    0.8    1.3    9.2   14.4    1.4      0      1    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-43.83 -11.35      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.8    2.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.55 -22.52      0      0    0.2    0.2      0      0    0.1      0      0      0      0      0    0.1      0      0    0.6    0.1    0.2    0.1    0.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0    0.2    2.7    5.7      5    9.2    9.9   10.8    0.1      0      0    0.5    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-46.91 -23.46      0      0    4.1    1.8    0.3      0    0.3      0      0      0      0    0.1    0.1    0.1      0    1.8    0.1      1    1.9    1.8      3    0.2      0      0      0    0.2    0.3    0.1      0      0      0    0.3    1.6    1.6    5.9    5.8   15.8    9.9    4.6   17.4    0.2    0.3    0.4    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.99 -21.76      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.1      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    4.3      2    5.7    4.2    0.4      0      0      0    1.6    0.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -50.2 -21.12      0      0      0      0      0      0      0      0      0      0      0      0    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    1.1      1    5.8    1.6    0.1      0      0      0    1.3    1.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -48.3  -13.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.8    0.2      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -51.2 -27.78   29.1    9.1    0.4    0.4    0.2    5.2    1.2    0.1    0.5    1.3    2.7    1.1    2.1    4.3    5.9      0    1.7    0.6      0      0    0.2    0.2      0      0    1.6    0.3      0      0      0      0      3    0.2    0.1    0.3    0.6    5.9   18.3   10.6   10.8    2.2      6    1.3      0      0   12.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.33  -27.6   10.5    4.1    0.8    0.3    0.2    2.9    1.3    0.1    0.3    0.3    0.9    0.8      1      3    7.2    0.1    5.4    0.4      0      0    0.8    0.5    0.1      0    1.4    0.7    0.3    0.1      0      0    0.8    0.4    0.1    1.9    0.7    6.8   20.4    7.4   12.7    1.8    3.1    0.8    0.1      0   11.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.04 -27.14   31.3    5.6    0.3    0.5    0.5    6.9    1.2    0.2    0.9    1.7    4.2    1.5    5.3    6.8   13.3      0      4      1      0      0      0    1.4      0    0.1    4.3    0.1    0.1      0      0      0    4.2    0.1      0    9.1    0.7    9.5    5.8   18.7    2.4    2.1    2.5    0.1      0      0   14.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.38 -27.27   15.6    4.5    0.4    0.4    0.3    5.1    1.4    0.3    0.7    1.4      3    1.5    5.3    5.9   10.2    0.1    9.3    0.4      0      0    0.1    0.9      0      0    2.4    0.4    0.1      0      0      0      2    0.4      0    5.5    1.5    9.2   23.4      4    2.5    2.1    2.9    0.5      0      0   19.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.78 -27.52   35.8   11.2    0.2    0.2    0.3    6.6    1.4    0.4    0.5    1.6    4.5    1.3    3.4    7.3    9.7      0    2.9    0.6      0      0      0    0.4      0      0    1.6    0.1      0      0      0      0      3      0      0      5    2.7    4.2   13.4    2.9    5.5    2.7    2.9    0.2      0      0     16      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.73 -27.35   23.6    5.1    0.1    0.2    0.7    7.2    0.8    0.5    1.5    3.6    5.2    1.4    4.4    7.9   11.6      0    5.8    0.5      0      0      0    0.9      0    0.5    1.9    0.1      0      0      0      0    6.4      0      0    5.6    2.7      2    1.8    5.8    4.1    1.8    3.5    0.4      0      0   16.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.54 -26.66    2.7    0.7    0.5    0.7    0.1    3.2      1    0.1    0.2    0.2    1.5    1.6    2.8    3.3   15.1    0.1   19.1    0.5      0    0.5    0.1    3.8      0      0    5.8    0.5      0      0      0      0    1.1    0.7      0    6.4    1.9   11.4   15.5   13.7    2.9    1.4    0.9    0.3      0      0   29.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-55.05 -28.14    8.5    4.4    0.1    0.1    1.7    7.4    0.7    3.6    4.5   13.1   11.1      7      7   11.5    6.1      0    0.1      0      0    0.4      0   15.9    5.7    6.8    2.2      0    0.2      0      0      0    8.1      0    0.1    3.8    1.4    1.3    0.7    2.4      1    0.2    1.7    0.1      0      0   15.6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.87 -18.68      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.4    0.2      0      0      0    2.8      0    0.7    0.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-50.76 -19.16      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.3    0.7    0.1      0      0    1.1    0.1    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-50.64 -19.12      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.4      0      0      0    1.4    0.1    2.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.35  -20.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.3    0.9    1.5    0.2      0      0      0      0    0.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.63 -20.86      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.1    1.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    1.1    0.2      0      0      0    0.3      0    0.1    0.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.18 -20.06      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.5    0.8    4.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.4    0.6      0      0      0      0    0.1    0.1    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.87 -21.66      0      0      0      0      0      0      0      0    0.1      0      0    0.1    0.2    0.2      0    0.1    2.6    2.9    5.5   10.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    4.2    1.6    0.6    0.1      0      0      0      0      0    1.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.91 -22.46      0      0      0      0      0      0      0      0      0      0      0    0.1    0.2    0.2      0    0.5    0.9    0.9    1.3    1.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    4.7    4.3    5.1    0.2      0      0      0      0      0    0.7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -50.8 -13.69      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.6    0.1    0.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.26  -8.27      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.4      4    7.5    0.1    0.1    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.37  -9.76      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.3    2.6    6.2    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-47.39  -9.31      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    2.4    2.5    0.4    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-47.48  -7.33      0    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    0.5    7.1   12.1    3.7    0.2    0.3    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.65  -3.83      0    1.3    0.4    0.1    0.1    0.2    0.2    0.2    0.1    0.1    0.1    0.1    0.1    0.1      0      0      0      0      0    0.1    1.1    0.2    0.1    0.1    0.1    0.1    0.3      0      0      0      0      0      0    0.6    0.4    1.4    0.3    0.7    5.8    7.7    7.5    0.4    0.3    1.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.67 -29.07   21.7   10.2    0.3    0.4    0.8    6.3      1    0.9    2.1    3.5    6.3    1.3    8.1    7.1    4.7      0    2.4    0.6      0    0.1      0    0.1    0.2      0    2.9    0.1      0      0      0      0    7.9      0      0    0.3    1.8    3.6   14.2    6.8    6.6    2.1      4    0.7      0      0   12.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.39 -29.01   17.2   13.9    0.6    0.7    0.7    5.8    1.1    0.6      2    3.2      5    0.9    7.5    6.8    6.4      0    1.5    0.3      0    0.2      0    0.1      0      0    2.7    0.1      0      0      0      0    7.8    0.1      0    0.1    0.7   11.9   20.3   16.9    8.7    3.1    8.2    3.2      0      0   12.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.28 -29.45    3.9    4.9    0.1    0.1    1.3    7.4    0.5    5.8    6.2   13.6   11.6    8.1      8    9.1    8.8      0    0.3      0      0    0.4      0    7.9    6.8    4.1    3.8      0    0.1      0      0      0   11.1      0      0    1.6    0.7    0.7    0.9    3.8    1.2    1.2      3    0.3      0      0   13.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.54 -28.56   18.2    7.3    0.1    0.1    0.3    8.1    0.8    1.2    2.4    4.3    8.6    3.2      8    8.5    4.8      0    5.8    0.4      0      0      0      1      0    0.3    1.4      0      0      0      0      0    7.2      0      0    2.4    5.8    0.8    3.5    3.6    7.3    2.2    2.7    0.1      0      0   15.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-53.19 -29.02   10.5    5.4    0.1    0.2    1.1    7.8    0.5    3.2      4     11   13.6   11.5    7.9     11    7.5      0    0.7    0.1      0    0.3      0    8.2    2.7    2.1      4      0      0      0      0      0    9.6      0      0    1.2    1.1    1.4    1.5    5.7    3.2    0.6    2.9    0.2      0      0   14.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.87 -25.14      0      0    1.6    0.4    0.2    0.1    0.4      0      0      0    0.1    0.1    0.1    0.1    2.8   16.9     31    1.6    0.7      0      1    0.3      0      0      2    1.7    0.8    0.5      0      0      0    0.3    0.5      2      4    3.6   24.7   15.4    9.8    0.7      0    0.3    0.2      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-49.52 -27.14    3.8    2.3    2.3    0.4    0.3    1.8    1.2    0.1    0.3    0.5    1.2    1.2    0.6    2.8    8.7    0.4   15.1    0.9    0.3      0    1.6    1.1    0.5      0      1    0.8    0.8    0.7    0.2      0      0    0.7    0.1    0.3      0    5.5   27.4    8.9   20.5    0.6    2.7      1    0.6      0   13.5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-69.12  -12.6    0.2    0.3    0.2    0.1    0.1    0.4    0.6    0.4    0.6    0.7      1    0.9    1.8    0.4      3    3.5    7.5    5.6    4.3    9.8    6.8    2.2    2.4    1.9    2.6    1.4    0.4    0.2    0.5      1    3.9   17.7      2    0.6    0.9      1      7    6.8    0.6    1.1    1.7    1.1    1.6    2.6    3.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-59.46 -10.16      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.3    1.5    3.4    0.4    1.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-65.35 -10.73    0.1    0.1      0      0      0      0      0      0    0.2    0.3    0.5    0.7    0.5    0.6    4.4    2.1    1.2    6.7    0.9    5.8    1.9    0.1    0.2    0.8    4.6    0.5    0.2      0    0.2    0.4    5.8    8.3    0.1    0.1    0.1    0.5    2.2    0.4    0.1    0.2      0      0    0.2      1    7.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-58.96 -15.12      0      0      0      0      0      0      0      0      0      0    0.1    0.1      0      0      0    0.1      0    4.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.1      0    0.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-64.65  -9.25    0.3    0.2    0.2      0      0    0.2    0.3    0.1    0.2    0.3    0.7    0.5    1.2      1    2.7    2.9    2.2    6.1    2.2    5.6    5.8    0.6    0.8    0.8    2.5    1.9    0.3    0.1    0.2    0.4    2.1   16.9    0.5    0.2    0.2    0.2    2.2    1.1    0.1    0.3    0.2    0.1    0.4    0.7      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-64.43 -12.43      0      0      0      0      0      0      0      0    0.1    0.1    0.5    0.4    0.4    0.2    0.9    0.5    0.8    7.3    0.5    1.7    0.9      0    0.1    0.2    0.2    0.1      0      0      0      0    1.4    5.5      0      0      0      0      0      0      0      0      0      0    0.1    0.6    3.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -60.7 -11.99      0      0      0      0      0      0      0      0      0      0    0.2      0    0.2      0    0.1      0      0    2.8      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0    1.6    0.3    1.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-63.45  -8.75      0      0      0      0      0    0.1      0    0.1    0.1    0.3    0.2    0.2    0.5    0.2    0.3    0.1      0    1.9    0.1    0.1    0.2      0      0    0.3    0.2    0.1    0.3    0.1      0    0.1      0    0.4      0      0      0      0      0      0      0    0.4    1.6    0.1    0.4    0.5    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-63.97  -8.87      0      0      0      0      0    0.2    0.1    0.1    0.2    0.3    0.6    0.3    0.9    0.8    0.5    0.2    0.2    2.6    0.3    0.8    0.9      0    0.2    0.6    1.1    0.2    0.1      0    0.2    0.4      0    1.3      0      0      0      0    0.2      0      0    0.2    1.2    0.1    0.7    1.3    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
